00;0001;00_0001;Unk;
00;0002;00_0002;Unk;Unk1: uint
00;0003;00_0003;Unk;Unk1: uint
00;0004;00_0004;Unk;Unk1: uint, Unk2: uint
00;0005;00_0005;Unk;Unk1: uint, Unk2: uint, Unk3: uint
00;0006;00_0006;Unk;Unk1: uint, Unk2: uint, Unk3: uint
00;0007;00_0007;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0008;00_0008;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0009;00_0009;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;000A;00_000A;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;000B;00_000B;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;000C;00_000C;Unk;Unk1: uint, Unk2: uint
00;000D;00_000D;Unk;Unk1: uint, Unk2: uint
00;000E;00_000E;Unk;Unk1: uint, Unk2: uint, Unk3: uint
00;000F;00_000F;Unk;Unk1: uint, Unk2: uint
00;0011;00_0011;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0012;00_0012;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0013;00_0013;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0014;00_0014;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0015;00_0015;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0016;00_0016;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0017;00_0017;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0018;00_0018;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0019;00_0019;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;001A;00_001A;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;001B;00_001B;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;001D;00_001D;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;001E;00_001E;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;001F;00_001F;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0020;00_0020;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0021;00_0021;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0022;00_0022;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0023;00_0023;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint
00;0025;00_0025;Unk;Unk1: uint, Unk2: uint
00;0026;00_0026;Unk;Unk1: uint, Unk2: uint
00;0029;00_0029;Unk;Unk1: uint, Unk2: uint
00;002A;00_002A;Unk;Unk1: uint, Unk2: COUNT_uint
00;002B;00_002B;Unk;Unk1: uint, Unk2: COUNT_uint
00;002C;00_002C;Unk;Unk1: uint, Unk2: COUNT_uint
00;002D;00_002D;Unk;Unk1: uint, Unk2: uint, Unk3: CONTINUOUS_uint
00;002E;00_002E;Unk;
00;002F;00_002F;Unk;
00;0030;00_0030;Unk;Unk1: uint, Unk2: uint, Unk4: str
00;0031;00_0031;Unk;Unk1: str
00;0032;00_0032;Unk;Unk1: str
00;0035;00_0035;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0036;00_0036;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0037;00_0037;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;0038;00_0038;Unk;Unk1: uint, Unk2: uint, Unk3: uint
00;0039;00_0039;Unk;Unk1: uint, Unk2: uint
00;003B;00_003B;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint
00;003C;00_003C;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint, Unk6: uint
00;003D;00_003D;Unk;Unk1: uint, Unk2: uint, Unk3: uint, Unk4: uint, Unk5: uint, Unk6: uint
